category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Buildings;Government Office Buildings;8941539739;Used as Per Procedure;Vacant Non-Utilized Land;Well Maintained;Riau;Kota Dumai;1.665742;101.447601;2016;0
Land;Agricultural Land;35384908281;Not Used/Abandoned;Monuments or Historical Buildings;Needs Repair;Jambi;Kabupaten Kerinci;-1.697;101.264;2016;5307736242
Land;Monuments or Historical Buildings;67175776864;Used as Per Procedure;Monuments or Historical Buildings;Needs Repair;Jambi;Kabupaten Merangin;-2.1752789;101.9804613;2016;0
Buildings;Plantation Land;40396640126;Used as Per Procedure;School/University Buildings;Needs Repair;Jambi;Kabupaten Sarolangun;-2.2654937;102.6905326;2016;0
Buildings;Plantation Land;79801549206;Not Used;School/University Buildings;Slightly Damaged;Jambi;Kabupaten Batang Hari;-1.7083922;103.0817903;2016;11970232381
Land;School/University Buildings;74508628496;Used for Functional Vehicles;Sports Facilities (Stadiums, Sports Fields);Slightly Damaged;Jambi;Kabupaten Muaro Jambi;-1.596672;103.615799;2016;0
Buildings;Hospitals/Health Centers;15899400841;Not Used/Abandoned;School/University Buildings;Needs Repair;Jambi;Kabupaten Tanjung Jabung Timur;-1.3291599;103.89973;2016;2384910126
Land;Warehousing/Logistics;18465369859;Used as Per Procedure;Monuments or Historical Buildings;Heavily Damaged;Jambi;Kabupaten Tanjung Jabung Barat;-1.2332122;103.7984428;2016;0
Buildings;Plantation Land;7080495572;Used by Others;Agricultural Land;Heavily Damaged;Jambi;Kabupaten Tebo;-1.2592999;102.3463875;2016;0
Land;Plantation Land;29046232476;Used as Per Procedure;Monuments or Historical Buildings;Well Maintained;Jambi;Kabupaten Bungo;-1.6401338;101.8891721;2016;0
Buildings;Agricultural Land;38279217881;Not Used/Abandoned;Warehousing/Logistics;Heavily Damaged;Jambi;Kota Jambi;-1.596672;103.615799;2016;5359090503
Land;Official Residence;9697166942;Not Used;Hospitals/Health Centers;Heavily Damaged;Sumatra Selatan;Kabupaten Ogan Komering Ulu;-4.0283486;104.0072348;2016;969716694
Buildings;Monuments or Historical Buildings;66176015457;Used for Functional Vehicles;Monuments or Historical Buildings;Slightly Damaged;Sumatra Selatan;Kabupaten Ogan Komering Ilir;-3.4559744;105.2194808;2016;0
Land;Official Residence;78499252189;Used for Functional Vehicles;Vacant Non-Utilized Land;Heavily Damaged;Sumatra Selatan;Kabupaten Muara Enim;-3.651581;103.770798;2016;0
Buildings;Plantation Land;17276366823;Used as Per Procedure;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Sumatra Selatan;Kabupaten Lahat;-3.7863889;103.5427778;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);37595815997;Used as Per Procedure;Vacant Non-Utilized Land;Well Maintained;Sumatra Selatan;Kabupaten Musi Rawas;-2.8625305;102.989615;2016;0
Buildings;Public Facilities (Parks, Fields);79913931255;Used by Others;Official Residence;Needs Repair;Sumatra Selatan;Kabupaten Musi Banyuasin;-2.5442029;103.7289167;2016;0
Land;Vacant Non-Utilized Land;72888758779;Used for Functional Vehicles;School/University Buildings;Needs Repair;Sumatra Selatan;Kabupaten Banyu Asin;-2.6095639;104.7520939;2016;0
Buildings;Official Residence;93892428656;Used for Functional Vehicles;Hospitals/Health Centers;Slightly Damaged;Sumatra Selatan;Kabupaten Ogan Komering Ulu Selatan;-4.6681951;104.0072348;2016;0
Land;Vacant Non-Utilized Land;60942650822;Used for Functional Vehicles;Official Residence;Slightly Damaged;Sumatra Selatan;Kabupaten Ogan Komering Ulu Timur;-3.8567934;104.7520939;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);2830251222;Operational Use;Hospitals/Health Centers;Well Maintained;Sumatra Selatan;Kabupaten Ogan Ilir;-3.426544;104.6121475;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);6298682698;Used for Functional Vehicles;Official Residence;Slightly Damaged;Sumatra Selatan;Kabupaten Empat Lawang;-3.7286029;102.8975098;2016;0
Buildings;Agricultural Land;8797521531;Used for Functional Vehicles;Hospitals/Health Centers;Well Maintained;Sumatra Selatan;Kota Palembang;-2.9911083;104.7567333;2016;0
Buildings;Official Residence;56825683153;Used by Others;Government Office Buildings;Needs Repair;Sumatra Selatan;Kota Prabumulih;-3.440956;104.235397;2016;0
Buildings;School/University Buildings;82974920638;Not Used/Abandoned;Agricultural Land;Needs Repair;Sumatra Selatan;Kota Pagar Alam;-4.03767;103.265297;2016;10786739683
Buildings;Sports Facilities (Stadiums, Sports Fields);3546353616;Used by Others;Agricultural Land;Well Maintained;Sumatra Selatan;Kota Lubuklinggau;-3.2966667;102.8616667;2016;0
Buildings;Plantation Land;50183163470;Not Used/Abandoned;School/University Buildings;Needs Repair;Bengkulu;Kabupaten Bengkulu Selatan;-4.3248409;103.035694;2016;5520147982
Land;Public Facilities (Parks, Fields);90632981279;Not Used;Official Residence;Heavily Damaged;Bengkulu;Kabupaten Rejang Lebong;-3.4548154;102.6675575;2016;13594947192
Buildings;School/University Buildings;73469822810;Used by Others;Hospitals/Health Centers;Heavily Damaged;Bengkulu;Kabupaten Bengkulu Utara;-3.4219555;102.1632718;2016;0
Buildings;Public Facilities (Parks, Fields);59988211611;Used for Functional Vehicles;Warehousing/Logistics;Needs Repair;Bengkulu;Kabupaten Kaur;-4.6792278;103.4511768;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);64701635674;Used for Functional Vehicles;Vacant Non-Utilized Land;Well Maintained;Bengkulu;Kabupaten Seluma;-4.0622929;102.5642261;2016;0
Buildings;Hospitals/Health Centers;98509797567;Used for Functional Vehicles;Warehousing/Logistics;Heavily Damaged;Bengkulu;Kabupaten Mukomuko;-2.5760003;101.1169805;2016;0
Buildings;Warehousing/Logistics;63192484963;Used by Others;Warehousing/Logistics;Heavily Damaged;Bengkulu;Kabupaten Lebong;-2.992617;104.382202;2016;0
Buildings;Hospitals/Health Centers;46351648695;Used as Per Procedure;Government Office Buildings;Needs Repair;Bengkulu;Kabupaten Kepahiang;-3.651431;102.578201;2016;0
Land;Public Facilities (Parks, Fields);77243921522;Not Used/Abandoned;Plantation Land;Slightly Damaged;Bengkulu;Kota Bengkulu;-3.7955556;102.2591667;2016;8496831367
Buildings;Hospitals/Health Centers;39251774783;Operational Use;Agricultural Land;Slightly Damaged;Lampung;Kabupaten Lampung Barat;-5.1490396;104.1930918;2016;0
Buildings;Plantation Land;106908507651;Not Used;Warehousing/Logistics;Needs Repair;Lampung;Kabupaten Tanggamus;-5.3027489;104.5655273;2016;16036276148
Land;Hospitals/Health Centers;95853051615;Used as Per Procedure;Monuments or Historical Buildings;Needs Repair;Lampung;Kabupaten Lampung Selatan;-5.5622614;105.5474373;2016;0
Buildings;School/University Buildings;17213885118;Operational Use;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Lampung;Kabupaten Lampung Timur;-5.1134995;105.6881788;2016;0
Land;School/University Buildings;75175226488;Used by Others;Warehousing/Logistics;Well Maintained;Lampung;Kabupaten Lampung Tengah;-4.8008086;105.3131185;2016;0
Buildings;Monuments or Historical Buildings;3743869573;Not Used/Abandoned;Warehousing/Logistics;Well Maintained;Lampung;Kabupaten Lampung Utara;-4.8133905;104.7520939;2016;486703044
Buildings;Warehousing/Logistics;97271092998;Not Used;Government Office Buildings;Heavily Damaged;Lampung;Kabupaten Way Kanan;-4.4963689;104.5655273;2016;11672531160
Land;Hospitals/Health Centers;92836823508;Not Used;Official Residence;Heavily Damaged;Lampung;Kabupaten Tulangbawang;-4.3176576;105.5005483;2016;12997155291
Land;School/University Buildings;56055468090;Used by Others;Government Office Buildings;Well Maintained;Lampung;Kabupaten Pesawaran;-5.493245;105.0791228;2016;0
Buildings;Agricultural Land;14031079596;Not Used/Abandoned;Vacant Non-Utilized Land;Slightly Damaged;Lampung;Kota Bandar Lampung;-5.45;105.2666667;2016;1403107960
Buildings;Public Facilities (Parks, Fields);68290628933;Used as Per Procedure;Sports Facilities (Stadiums, Sports Fields);Slightly Damaged;Lampung;Kota Metro;-5.1166667;105.3;2016;0
Buildings;Public Facilities (Parks, Fields);26299571481;Operational Use;Monuments or Historical Buildings;Well Maintained;Bangka Belitung;Kabupaten Bangka;-2.2884782;106.0640179;2016;0
Land;Vacant Non-Utilized Land;69323332524;Used for Functional Vehicles;Monuments or Historical Buildings;Needs Repair;Bangka Belitung;Kabupaten Belitung;-2.8708938;107.9531836;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);76232319445;Not Used/Abandoned;Vacant Non-Utilized Land;Needs Repair;Bangka Belitung;Kabupaten Bangka Barat;-2.2884782;106.0640179;2016;7623231945
Buildings;Monuments or Historical Buildings;11675831780;Used for Functional Vehicles;School/University Buildings;Heavily Damaged;Bangka Belitung;Kabupaten Bangka Tengah;-2.2884782;106.0640179;2016;0
Buildings;School/University Buildings;52409248692;Not Used/Abandoned;Plantation Land;Slightly Damaged;Bangka Belitung;Kabupaten Bangka Selatan;-2.2884782;106.0640179;2016;6813202330
Buildings;School/University Buildings;64347989317;Operational Use;Hospitals/Health Centers;Needs Repair;Bangka Belitung;Kabupaten Belitung Timur;-2.8708938;107.9531836;2016;0
Buildings;Hospitals/Health Centers;27869687156;Used for Functional Vehicles;Monuments or Historical Buildings;Needs Repair;Bangka Belitung;Kota Pangkal Pinang;-2.129323;106.109596;2016;0
Buildings;Official Residence;22088036075;Used as Per Procedure;School/University Buildings;Needs Repair;Kepulauan Riau;Kabupaten Karimun;1.05;103.3666667;2016;0
Land;Monuments or Historical Buildings;70090845078;Not Used/Abandoned;Hospitals/Health Centers;Well Maintained;Kepulauan Riau;Kabupaten Bintan;1.0619173;104.5189214;2016;7009084508
Buildings;Government Office Buildings;83594385417;Used by Others;Vacant Non-Utilized Land;Heavily Damaged;Kepulauan Riau;Kabupaten Natuna;3.9329945;108.1812242;2016;0
Land;School/University Buildings;39460911482;Not Used/Abandoned;School/University Buildings;Heavily Damaged;Kepulauan Riau;Kabupaten Lingga;-0.1627686;104.6354631;2016;4340700263
Buildings;Agricultural Land;77897281487;Used for Functional Vehicles;Public Facilities (Parks, Fields);Slightly Damaged;Kepulauan Riau;Kota Batam;1.0456264;104.0304535;2016;0
Buildings;School/University Buildings;64543796538;Used by Others;Vacant Non-Utilized Land;Needs Repair;Kepulauan Riau;Kota Tanjung Pinang;0.9179205;104.446464;2016;0
Buildings;Hospitals/Health Centers;88962252589;Not Used/Abandoned;Public Facilities (Parks, Fields);Heavily Damaged;DKI Jakarta;Kabupaten Kepulauan Seribu;-5.7985266;106.5071982;2016;12454715362
Land;Vacant Non-Utilized Land;22424479610;Used for Functional Vehicles;Vacant Non-Utilized Land;Well Maintained;DKI Jakarta;Kota Jakarta Selatan;-6.332973;106.807915;2016;0
Land;Vacant Non-Utilized Land;87512141019;Used for Functional Vehicles;Official Residence;Well Maintained;DKI Jakarta;Kota Jakarta Timur;-6.211544;106.845172;2016;0
Land;Hospitals/Health Centers;29274259919;Not Used;Public Facilities (Parks, Fields);Well Maintained;DKI Jakarta;Kota Jakarta Pusat;-6.211544;106.845172;2016;4391138988
Buildings;Sports Facilities (Stadiums, Sports Fields);32774816771;Used for Functional Vehicles;Warehousing/Logistics;Needs Repair;DKI Jakarta;Kota Jakarta Barat;-6.211544;106.845172;2016;0
Buildings;Government Office Buildings;107486550572;Not Used;Agricultural Land;Well Maintained;DKI Jakarta;Kota Jakarta Utara;-6.211544;106.845172;2016;12898386069
Land;School/University Buildings;5056206644;Operational Use;Official Residence;Needs Repair;Jawa Barat;Kabupaten Bogor;-6.6;106.8;2016;0
Land;Vacant Non-Utilized Land;20851095799;Used for Functional Vehicles;Vacant Non-Utilized Land;Heavily Damaged;Jawa Barat;Kabupaten Sukabumi;-6.92405;106.922203;2016;0
Land;Public Facilities (Parks, Fields);57236380795;Not Used/Abandoned;Monuments or Historical Buildings;Well Maintained;Jawa Barat;Kabupaten Cianjur;-6.8172531;107.1307289;2016;6296001887
Land;Vacant Non-Utilized Land;41316169386;Used for Functional Vehicles;Monuments or Historical Buildings;Needs Repair;Jawa Barat;Kabupaten Bandung;-6.9147444;107.6098111;2016;0
Buildings;Plantation Land;26603151511;Used for Functional Vehicles;Public Facilities (Parks, Fields);Slightly Damaged;Jawa Barat;Kabupaten Garut;-7.227906;107.908699;2016;0
Buildings;Monuments or Historical Buildings;75222148618;Not Used;Monuments or Historical Buildings;Heavily Damaged;Jawa Barat;Kabupaten Tasikmalaya;-7.327954;108.214104;2016;9026657834
Buildings;Monuments or Historical Buildings;73539173055;Used for Functional Vehicles;Vacant Non-Utilized Land;Heavily Damaged;Jawa Barat;Kabupaten Ciamis;-7.3333333;108.35;2016;0
Land;Public Facilities (Parks, Fields);105900779024;Used as Per Procedure;Public Facilities (Parks, Fields);Needs Repair;Jawa Barat;Kabupaten Kuningan;-6.9833333;108.4833333;2016;0
Land;Plantation Land;96545093166;Operational Use;Warehousing/Logistics;Needs Repair;Jawa Barat;Kabupaten Cirebon;-6.715534;108.564003;2016;0
Buildings;School/University Buildings;109603372149;Used by Others;Hospitals/Health Centers;Heavily Damaged;Jawa Barat;Kabupaten Majalengka;-6.8531026;108.2258897;2016;0
Land;Vacant Non-Utilized Land;39875985095;Not Used/Abandoned;School/University Buildings;Needs Repair;Jawa Barat;Kabupaten Sumedang;0.6095949;110.0330554;2016;4386358360
Buildings;Warehousing/Logistics;4970596626;Used by Others;Government Office Buildings;Well Maintained;Jawa Barat;Kabupaten Indramayu;-6.336315;108.325104;2016;0
Buildings;Agricultural Land;35745273389;Not Used;Agricultural Land;Needs Repair;Jawa Barat;Kabupaten Subang;-6.569361;107.752403;2016;3574527339
Land;School/University Buildings;54603528600;Not Used/Abandoned;School/University Buildings;Heavily Damaged;Jawa Barat;Kabupaten Purwakarta;-6.5386806;107.4499404;2016;6006388146
Buildings;Sports Facilities (Stadiums, Sports Fields);18921743139;Operational Use;Government Office Buildings;Well Maintained;Jawa Barat;Kabupaten Karawang;-6.3227303;107.3375791;2016;0
Land;Public Facilities (Parks, Fields);9348593314;Operational Use;Hospitals/Health Centers;Needs Repair;Jawa Barat;Kabupaten Bekasi;-6.2333333;107;2016;0
Land;School/University Buildings;49748157555;Used by Others;Hospitals/Health Centers;Well Maintained;Jawa Barat;Kabupaten Bandung Barat;-6.8937121;107.4321959;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);102486048500;Not Used;Hospitals/Health Centers;Needs Repair;Jawa Barat;Kota Bogor;-6.6;106.8;2016;10248604850
Land;Warehousing/Logistics;83860465870;Used as Per Procedure;Agricultural Land;Heavily Damaged;Jawa Barat;Kota Sukabumi;-6.92405;106.922203;2016;0
Buildings;Vacant Non-Utilized Land;34227678887;Operational Use;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Jawa Barat;Kota Bandung;-6.9147444;107.6098111;2016;0
Buildings;Agricultural Land;97645605678;Not Used/Abandoned;Warehousing/Logistics;Well Maintained;Jawa Barat;Kota Cirebon;-6.715534;108.564003;2016;14646840852
Buildings;Government Office Buildings;76620057839;Used by Others;Plantation Land;Heavily Damaged;Jawa Barat;Kota Bekasi;-6.2333333;107;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);50914605255;Used as Per Procedure;Official Residence;Heavily Damaged;Jawa Barat;Kota Depok;-6.39;106.83;2016;0
Land;Agricultural Land;29077744418;Used as Per Procedure;Plantation Land;Well Maintained;Jawa Barat;Kota Cimahi;-6.880239;107.5355;2016;0
Land;Plantation Land;63242600906;Used as Per Procedure;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Jawa Barat;Kota Tasikmalaya;-7.327954;108.214104;2016;0
Buildings;Agricultural Land;21416716985;Not Used/Abandoned;Public Facilities (Parks, Fields);Heavily Damaged;Jawa Barat;Kota Banjar;-7.3666667;108.5333333;2016;2998340378
Land;Agricultural Land;81450318354;Used for Functional Vehicles;Government Office Buildings;Well Maintained;Jawa Tengah;Kabupaten Cilacap;-7.733333;109;2016;0
Land;Government Office Buildings;102954417086;Used as Per Procedure;Plantation Land;Well Maintained;Jawa Tengah;Kabupaten Banyumas;-7.4832133;109.140438;2016;0
Land;School/University Buildings;72443717761;Used as Per Procedure;Agricultural Land;Needs Repair;Jawa Tengah;Kabupaten Purbalingga;-7.390747;109.3638;2016;0
Land;Official Residence;79666051088;Not Used/Abandoned;Warehousing/Logistics;Slightly Damaged;Jawa Tengah;Kabupaten Banjarnegara;-7.402706;109.681396;2016;10356586641
Buildings;Warehousing/Logistics;18074826150;Used by Others;Warehousing/Logistics;Heavily Damaged;Jawa Tengah;Kabupaten Kebumen;-7.678682;109.656502;2016;0
Buildings;Agricultural Land;82218668223;Not Used;Vacant Non-Utilized Land;Heavily Damaged;Jawa Tengah;Kabupaten Purworejo;-7.709731;110.008003;2016;11510613551
Land;Agricultural Land;54652107785;Used for Functional Vehicles;Warehousing/Logistics;Needs Repair;Jawa Tengah;Kabupaten Wonosobo;-7.362109;109.899399;2016;0
Land;Hospitals/Health Centers;9602055920;Used by Others;Plantation Land;Heavily Damaged;Jawa Tengah;Kabupaten Magelang;-7.481253;110.213799;2016;0
Buildings;Hospitals/Health Centers;42464813252;Not Used/Abandoned;Warehousing/Logistics;Heavily Damaged;Jawa Tengah;Kabupaten Boyolali;-7.523819;110.595901;2016;5945073855
Buildings;Official Residence;80155481542;Used by Others;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Jawa Tengah;Kabupaten Klaten;-7.711687;110.595497;2016;0
Buildings;Plantation Land;63536704082;Used as Per Procedure;Government Office Buildings;Well Maintained;Jawa Tengah;Kabupaten Sukoharjo;-7.6808818;110.8195292;2016;0
